smiles,occurrence
C1CC2(C1)CCCCO2,142
c1ccn2cc[nH+]c2c1,141
C1CO[C@]2(CCOC2)CC1,141
C1COCCO1,140
c1nnn[n-]1,140
C1CCCC2=C1CC=CN2,139
C1CSCCS1,139
C1CCNc2ccccc2N1,139
c1cn2ccnc2cn1,139
c1nnc2n1CCNC2,139
CBr,138
C1CO[C@]2(CCSC2)CC1,137
C1CC[NH+]2CCNC[C@H]2C1,136
C=CCC,136
C1COCC[NH2+]1,133
C1=C[C@H]2C[C@@H]1CC2,133
c1ccc2nsnc2c1,133
c1ccn2cncc2c1,132
c1ccn2ncnc2c1,131
C1=C[C@@H]2c3ccccc3NC[C@H]2C1,130
c1ccc2c(c1)COCO2,129
c1nc2sc3c(c2cn1)CCCC3,129
C1NCC2(CCCCC2)N1,127
C1CCC2(C1)CCCCO2,125
C1CCC=NN1,125
c1ncc2sccc2n1,124
c1ccc2c(c1)cnc1nncn12,122
CCC[NH3+],121
C1CCCS1,120
c1ccocc1,120
C1C[NH2+]CCC1,119
c1ccc2[nH]cncc2c1,118
c1nc2sccn2n1,117
C1CC2(CCN1)OCCO2,117
C1CSCCO1,117
C1CSC=N1,116
C1C[NH+]C1,116
C1=CCN=C1,115
C1CNCCSC1,114
c1ccc2c(c1)CNCCO2,113
C1NCCc2ccccc21,113
C1CCNCCN1,113
C1CNSC1,112
C1=CSCC1,112
C1N[C@@H](c2ccccc2)c2cc3ccccc3oc21,112
C1NCCCN1,110
c1cnc2c(c1)CCCC2,110
c1ccc(C2=NOCC2)cc1,110
C1CNN=C1,109
C1COC(c2ccccc2)=N1,109
c1ncc2c(n1)CCCC2,109
c1cc2cnnc2s1,109
c1nc2cnnc2n1,105
C1=C[C@H]2c3ccccc3NC[C@@H]2C1,105
c1nc2nncc2cn1,105
C1COC2(CCOCC2)CC1,105
C1CCCc2occc21,105
C1N[C@H](c2ccccc2)c2cc3ccccc3oc21,103
c1ncc2c3c(sc2n1)CCCC3,102
C1C[NH2+]C1,102
c1ccc2nnncc2c1,102
C#CCO,102
c1cnc2c(c1)CCC2,101
CCCCCC,101
c1cnncn1,100
C1CCSN1,100
c1ccc2c(c1)Cc1ccccc1-2,99
c1ccc2c(c1)CCCCO2,99
C1=NCCS1,99
c1n[nH]c[nH]1,99
c1nc2c(s1)CCC2,98
c1nc2nc[nH]cc2n1,98
C1C[C@H]2CC[C@@H]1O2,98
C1CCC2SCCN12,96
C1CCC2(CC1)CCCCO2,96
c1cnc2[nH]ncc2c1,96
c1cc2c(s1)CCCCC2,96
C1C[C@@H]2CC[C@H](CN1)[NH+]2,96
c1cnc2scnn2c1,95
C1CNCCO1,95
c1cc2c(s1)CNCC2,94
c1ccc2c[nH]ncc2c1,94
c1nc2ccsc2cn1,94
C1CCC[NH2+]CC1,93
c1c[nH]c[nH]c1,93
C1=CN=CC1,93
C1OCCc2ccccc21,92
C=N/O,92
c1cnc2nc[nH]c2c1,91
C1COC2(CCSCC2)CC1,91
c1ccc2c3c([nH]c2c1)CCCC3,90
C1CCCNCCC1,89
c1ccc2c(c1)CNC2,89
c1cc2c3c(c1)CC[C@@H]3CCC2,88
C1CC=c2ccccc2=[NH+]1,85
C1=NN=C(c2ccccc2)C1,85
C1=NN(c2ccccc2)CC1,85
c1ccc2c(c1)oc1cncnc12,85
c1ccc2c(c1)CNCCN2,85
C1CC[NH+]2CCC[C@H]2C1,84
C1CCCC[NH+]C1,83
c1ncc2c(nc3nccn32)n1,83
C1=C(c2ccccc2)N=NC1,82
C1CCNCN1,82
C1=NSc2ccccc21,82
C1COCO1,82
c1ncc2nc[nH]c2n1,82
C1C[C@H]2CC[C@H]2O1,81
c1ccc2c(c1)NCCS2,81
c1cnc2ncccc2c1,80
C1=NNCC1,80
C1CC2C[C@H]1CC2,79
P,79
c1csc[nH]1,79
c1ccc2c3c([nH]c2c1)CNCC3,78
c1cc2c(s1)CC[NH+]C2,78
c1nnc2c1CSC2,77
c1nnc2c1CCC2,77
C=CCCC,77
c1ncc2c(n1)CCNC2,77
C1CO1,76
c1cnc2nc[nH]cc2c1,76
c1nc[n-]n1,76
c1ccc2nnccc2c1,75
c1n[nH]c2c1CCCC2,75
c1ncc2c(n1)CCC2,75
C1CCNCCC1,74
c1cnc2n(c1)CCS2,73
C1C[C@@H]2CC[C@H]2O1,73
c1ncc2ncnc2n1,73
C1OCc2ccccc21,73
c1cc[nH+]nc1,73
C1CCC2=C(CCCC2)N1,72
CCN,71
c1cnc2ncoc2c1,70
CCCCl,70
c1ccc2c(c1)CC[C@@]21CC1,69
C#CCCO,69
c1ccc2c(c1)CCSC2,69
c1cc2c(s1)CCSC2,68
C1NCC2(CCCC2)N1,68
C1NSc2ccccc21,67
c1nnc2c1CNCC2,67
c1ccc2c(c1)NCCCS2,67
c1cn2c([nH+]1)CCCC2,66
CCCC#N,66
C1CCC[C@@H](C2CC2)C1,66
C1CCSCN1,65
c1ccc2oncc2c1,65
C1CC[C@@H]2NCCC[C@H]2C1,65
C1CN(C2=[NH+]CCS2)CCN1,64
C1CN=C2SC=NN2C1,64
C1COCOC1,64
N=N,64
C1C=CCCC1,64
c1c[nH]c2c(c1)CCCC2,64
C1=NOCC1,63
c1ccc2oc[nH]c2c1,63
c1[nH]c2c([nH+]1)CCNC2,62
c1ccc2[nH+]cnc2c1,60
C1CC2(C1)CCC2,60
c1ccc2c(c1)=[NH+][C@@H]1CNCCC=21,60
C1CCCc2ccccc21,59
C1CC[C@H]2C[C@H]2C1,59
C1NC[C@@]2(CCCCC2)N1,59
c1cnc2nccnc2c1,58
c1ccn2nccc2c1,58
C1CNC=N1,58
c1nc2sc3c(c2c[nH]1)CCCC3,57
c1ccc2c3c([nH]c2c1)CCNC3,57
c1nnc2n1NCCS2,57
c1cnc2sccc2c1,57
C1CNCC=C1,57
c1cc2ncnc2cn1,57
c1nnc2n1CCNCC2,56
c1cn2ncsc2n1,56
C#CCC,56
C1=[N+](c2ccccc2)CCC1,55
c1ccc2c(c1)[nH]c1cncnc12,55
c1cnc2nccc2c1,55
C1C2C[C@@H]3CC1C[C@H](C2)C3,54
C1CCCC2=C1CCC=N2,54
CCS,54
c1ccc2nonc2c1,54
CCCCO,54
C1CCOc2ccccc2N1,54
c1cnn2nnnc2c1,54
c1cc2sccc2n1,53
c1cc2c3c(c1)CC[C@H]3CCC2,53
C1Cc2ccccc2CN1,53
c1cc[nH]nc1,53
c1c[nH]nc1,53
CON,53
c1cncnn1,52
c1ccc2c(c1)CC2,52
c1ccc2nc3nccc3nc2c1,52
c1ncc2nnnc2n1,52
C1NCCN2CCC[C@@H]12,52
C1CCC2(CCNCC2)CN1,52
C1CCN1,52
C1C[C@@H]2CCC[C@H](C1)[NH+]2,52
C1NCCCO1,52
c1c[nH]c2ccnn2c1,52
c1ccc2c(c1)oc1ccccc12,51
C1NCC2(CC[NH+]CC2)N1,51
c1nnc[nH]1,51
C1CCCC2=C1CNc1ccccc1N2,51
C1=C[C@H]2c3ccccc3NC[C@H]2C1,50
C1NC[C@]2(CCCCC2)N1,50
c1ncc2cnoc2n1,50
c1ccn2c[nH]nc2c1,50
C1=COCCC1,49
c1cc2c(o1)CCCC2,49
c1c[nH+]c2sccn2c1,49
C1C[C@@H]2CC[C@H](C1)[NH+]2,49
C1NCCC[C@@]12CCNC2,49
C1CCC=CN1,49
C1CCSc2ccccc2N1,48
c1ccc2c(c1)C[NH+]C2,48
C1CCc2ccccc21,48
NC=O,48
C1N[C@H]2CSC[C@@H]2S1,48
c1ccc2[nH+]c[nH]c2c1,48
C1CCCc2ncncc21,48
C1Cc2ccc3c(c2O1)CNCO3,47
C1CCC2(C1)CCC2,47
C1C[C@H]2CNCC[NH+]2C1,47
C1NCc2cccc3cccc1c23,47
C1NC[C@@H]2[C@@H]1[C@@H]1C=C[C@H]2C1,47
c1cnc2n(c1)CCCS2,47
C1NCN=[NH+]1,47
c1ccc2c(c1)CCOC2,47
c1ccc2c(c1)C[NH+]CCO2,46
C1CCC2(CC1)OCCO2,46
C1C[C@@H]2CNC[C@H]1C[NH+]2,46
C1CCCC2=C1CC=CO2,46
c1ncc2cncnc2n1,45
c1ncc2cc[nH]c2n1,45
C1CC2C[C@@H]1CC2,45
c1n[nH]c2c1CNCC2,45
c1[nH]c2c([nH+]1)CNCC2,45
C1CCc2c[nH]cnc2N1,45
C1N=CCN1,45
C1NCCN2CCC[C@H]12,45
c1cc2n(c1)CCNC2,45
C1=C[C@H](c2ccccc2)n2ncnc2N1,44
C1NC[C@H]2CCCC[C@H]12,44
c1ccc2c(c1)=[NH+][C@H]1CNCCC=21,44
c1ccc2c(c1)nc1ccccc12,44
c1ccc2sncc2c1,44
C1CNCC[NH2+]C1,44
c1ccn2cccc2c1,44
C1=Cc2ccccc2CN1,44
C1NC[C@H]2CC=CC[C@H]12,44
C#CC[NH3+],44
c1ccc2c(c1)ccc1nncn12,43
C1=C(c2ccccc2)CC[NH+]C1,43
C1CC[C@@H]2NCC[C@@H]2C1,43
C1=CCOCC1,43
c1cnc2ccsc2c1,43
c1[nH]c2cnnc2n1,43
c1ncc2[nH]cnc2n1,42
C1CC[C@@H]2[NH2+]CCC[C@@H]2C1,42
c1nc2nncc2c[nH]1,42
C1C[NH+]2CCC1CC2,42
C1c2ccccc2Cc2ccccc21,42
C1C[C@@H]2CC[C@H](C1)[NH2+]2,42
c1ncc2c3c(sc2n1)CCC3,41
c1nc2c(cn1)SCC2,41
C1N[C@H](c2ccccc2)c2cn[nH]c21,41
C1CC2(CC[NH+]1)OCCO2,41
c1cc2c3c(cccc3c1)CC2,41
C1N[C@@H]2CSC[C@@H]2S1,41
c1cn[nH+]c1,41
C1CO[C@@]2(CCSC2)CC1,41
c1cc2nncn2cn1,41
C1C[C@@H]2[C@H](N1)C1CC[NH+]2CC1,41
C1C[C@H]2C[C@@H]1CC2,41
C1=C[C@@H](c2ccccc2)n2ncnc2N1,40
CCCF,40
C1NCC2=C(CNC2)N1,40
c1ccc2c(c1)CC[C@]21CC1,40
C#CCN,40
C1C[C@@H]2C[NH+]C[C@H]1CN2,40
c1ccc2c(c1)NCOc1ncnnc1-2,40
c1csc[n+]1,40
C1C[C@@H](c2ccccc2)c2cnnc2N1,39
C1NC[C@H]2CC=CC[C@@H]12,39
c1cnsn1,39
C1CC[C@@H]2NCC[C@H]2C1,39
c1cn2cnnc2cn1,39
C1CCC[NH+]CCC1,39
C1CC[C@@H]2CNC[C@H]2C1,39
c1cnc2nncn2c1,39
C1CC[C@@H]2OCCN[C@H]2C1,39
c1nocn1,39
C1NCCC[C@]12CCNC2,39
c1ncc2c(n1)CNCC2,38
C1COCCNC1,38
C1CC2(CCN1)NCCO2,38
c1cnc2n[nH]cc2c1,38
c1cc2n(n1)CCNC2,38
C1NCCn2nccc21,38
C1C[C@H]2CC[C@@H](CN1)[NH+]2,38
C1N[C@@H](c2ccccc2)c2cn[nH]c21,38
C1CNNC1,37
C1COc2ccccc2CN1,37
C1Cc2ccccc2C1,37
C1N[C@H]2CSC[C@H]2S1,37
c1nc2ccsc2c[nH]1,37
C1CO[C@@]2(CCOC2)CC1,37
C1CCOc2ccccc21,37
c1[nH]nc2c1CCCC2,37
C1NC[C@H]2[C@@H]1[C@H]1C=C[C@@H]2C1,37
c1ccc2c(c1)NCCN2,37
c1ncc2ccoc2n1,36
C1CC[NH+]CCN1,36
C1CCCC2=C1[C@H](c1ccccc1)n1ncnc1N2,36
c1nncc2nncc12,36
C1CCc2ccccc2O1,36
c1cc2n(n1)CCC[NH+]C2,36
CCCCC#N,35
C1N=NCS1,35
c1nc2sc3c(c2cn1)CCC3,35
c1nc2c(c[nH]1)CCNC2,35
c1ccc([C@H]2CCNc3ncnn32)cc1,35
C1C=NCS1,35
C1CCC[C@H](C2CC2)C1,35
C1NCc2ncccc21,35
C=C/S,34
C1NC[C@@H]2CNCCN12,34
C1CC[C@H]2CN=CN=C2N1,34
C1NCCN2CCCC[C@H]12,34
C/C=N/N,34
C1CCCc2[nH]cccc21,34
C1CCC2(CC[NH+]CC2)CN1,34
C1CC[C@H]2CNC[C@H]2C1,34
C1NCCNc2ccccc21,34
C1CC[C@@H]2NCCC[C@@H]2C1,34
C1C[C@H](c2ccccc2)c2cnnc2N1,33
C1NC[C@H]2CNCCN12,33
C1Cn2nccc2N1,33
c1cnc2ccncc2c1,33
c1csc(C2=NNCC2)c1,33
c1cn[nH]n1,33
C1=CC2=CC=N[C@@H]2C=C1,33
C1=[NH+]CCS1,33
CCBr,33
C1CSCS1,33
C1N[C@@H]2CSC[C@H]2S1,32
C1CC=NC=N1,32
c1nc2nnnc2cn1,32
c1c[nH]cnc1,32
C1CC[C@H]2OCCN[C@H]2C1,32
C1Nc2ccccc2Oc2ccccc21,32
C1CNCCCN1,32
c1ccc2c(c1)CCCCN2,32
C1=CC[C@@H]2CNC[C@H]2C1,31
c1ccc([C@@H]2CCNc3ncnn32)cc1,31
c1nnc2n1CC[NH+]CC2,31
c1coc2cc3occc3cc2c1,31
C1CNCCOC1,31
C1=COC=CC1,31
C1CCC([C@H]2CC2)CC1,31
c1noc2c1CCCC2,31
c1nnc2nc3n(cc12)CCS3,31
c1ccc2c[nH]ccc2c1,31
C1N[C@H]2CSC[C@H]2N1,31
c1nc2ncsc2cn1,31
c1ccc2nc3ccccc3cc2c1,31
C1=NCCN1,30
c1ncc2cn[nH]c2n1,30
C1CCCc2ccccc2N1,30
c1cc2n(n1)CCCNC2,30
C1CC[NH+]2C[C@H]3CNC[C@H]3[C@H]2C1,30
C=NN,30
C1CN[C@@H]2CSC[C@@H]2N1,30
C1CC[C@H]2NCCC[C@H]2C1,30
C1CNC=C1,30
C1C[C@@H]2CC[C@H](C1)N2,30
C1NCC2(CCNCC2)N1,30
C1CC[C@H]2NCCC[C@@H]2C1,30
C1=[N+]([C@H]2CCNC2)CCC1,30
C1NC[C@H]2C[C@@H]12,30
C1C[C@@H]2[C@H]3CC[C@H](C3)[C@H]2C1,30
C1Nc2cccc3cccc1c23,29
c1ccc2c(c1)CC[NH2+]C2,29
C1=CC2=NSCCN2C=C1,29
c1ccc2c(c1)nc1cnncc12,29
c1ccc2c(c1)[nH]c1ncnnc12,29
C1NC[C@H]2CCCC[C@@H]12,29
c1ccc2ncocc2c1,29
C1CC[C@@]2(CCCNC2)CN1,29
c1cc2c(s1)CCCCCC2,29
C1C[C@@H]2CNC[C@H]1CN2,29
c1nc2c(s1)COCC2,29
C1CC2CCC1C2,29
C1NC[C@@]23C=C[C@@H](C[C@H]12)O3,29
C1=C(c2c[nH]c3ccccc23)CCNC1,29
c1ccc2[n+]cnc2c1,28
c1cc2c(s1)C[NH+]CC2,28
C1NC[C@@H]2[C@H]1CN[C@]21CNc2ccccc21,28
C1CCCc2ncsc21,28
C1N[C@@H]2CC[C@H]1CNC2,28
C1C[NH+]CCSC1,28
N#CN,28
C1CSC(N2CCNCC2)=N1,28
c1n[nH]c2c1CCC2,28
C1CSC(N2CCCCC2)=N1,27
c1ccc2c(c1)ncc1nncn12,27
C1C[C@@H]2CCC1C2,27
C1NC[C@@H]2CCCC[C@@H]12,27
c1ncc2c(n1)C[NH+]CC2,27
C1NCCN2CCNC[C@H]12,27
C1CCc2cncnc2N1,27
C1CC2(CC[NH+]CC2)C1,27
C1N=CN=C2SCC=C12,27
C1CC[C@@H]2[NH2+]CCC[C@H]2C1,27
C1CN[C@H]2CCC[C@@H]2C1,27
c1cnc2scnc2c1,26
c1c[nH+]ccn1,26
c1coc2c3c(ccc2c1)OCNC3,26
C1=[N+]([C@@H]2CCNC2)CCC1,26
c1nnc2c1CNC2,26
C1=CC[C@H]2CNC[C@H]2C1,26
C1Nc2ccccc2Sc2ccccc21,26
c1ncc2c(n1)CC[NH+]C2,26
c1cnc2[nH]cnc2c1,26
c1c[nH]c2nncc2c1,26
C1CCCC2=C1[C@@H](c1ccccc1)n1ncnc1N2,26
c1ccc2c(c1)cnc1ccnn12,25
C1CCC2(CC1)CCC2,25
N[NH+],25
C1CCSNC1,25
C1CN=CNC1,25
c1cnc2cc[nH]c2c1,25
c1cc2c(cnc3nncn32)s1,25
c1ccc2c(c1)NCNS2,25
c1cnc2c(c1)CNCC2,25
C1CCC[NH2+]1,25
C=C/N,25
C1=NNCN1,25
C1=C[C@H](c2ccccc2)n2nnnc2N1,25
C1NC[C@@H]2CC=CC[C@@H]12,25
C1CC=CC=N1,25
c1cnc2sc3cncnc3c2c1,25
c1cc2c(nn1)CCNC2,25
C1COCCCN1,25
C1CCC2(CCNCC2)N1,24
C1=CC2=CC=N[C@H]2C=C1,24
C1CC=NN1,24
C1CCNN1,24
c1nc2c(c[nH]1)C[NH+]CC2,24
C1CC[C@]2(CCCNC2)CN1,24
C1=NSc2ccccc2N1,24
c1ccc2[nH]ccnc2c1,24
c1noc2c1CNCC2,24
C1CC2(CCN1)CC2,24
C1NCC2(CCNCC2)O1,24
C1NCCN2CCCC[C@@H]12,24
c1ncc2nncc2n1,24
c1cc2ncc3cnccc3n2n1,24
c1ccc([C@@H]2NCCc3ccccc32)cc1,24
C1CSCC[NH2+]1,24
C1NC[C@]23C=C[C@H](C[C@H]12)O3,24
c1nc2cc3c(cc2s1)OCCO3,24
C1CCCc2[nH]ccc21,24
CNN,24
C1Cc2cccc3c2N1CCC3,24
c1ccc2c(c1)Cc1ccccc1O2,24
C1=CCNC1,24
C1CC[C@@H]2CN=CN=C2N1,24
c1ccc2c(c1)CCCCC2,24
c1cc2c(nn1)CC[NH+]C2,24
C1NC2CCCN2c2ccccc21,23
C1C[C@H]2CCC1C2,23
c1ccc2[nH]nnc2c1,23
c1nc2cc3c(cc2s1)OCO3,23
C1C[NH+][C@H]2CCC[C@@H]2C1,23
c1c[n+]c2nc3ccccn3cc2c1,23
c1ccn2c(c1)[C@@H]1CNC[C@@H](C1)C2,23
C1CC[NH+]2CCNC[C@@H]2C1,23
C1=COCCO1,23
C1CSC(N2CCOCC2)=N1,23
c1ccc2c3c(coc2c1)CCC3,23
C1C[NH+]C[C@]2(C1)CCNC2,23
C1NC[C@]2(CCc3ccccc32)N1,23
c1cc2cnncn2n1,23
C1CC2(CN1)CCCC2,23
C1CC[NH+]2C[C@@H]3CNC[C@H]3[C@H]2C1,23
C1NC2C[C@H](N1)c1ccccc1O2,23
c1cnc2nonc2n1,23
C1CN=CN1,23
C1CNC(c2ccccc2)=N1,23
C1CCC2(CC[NH+]CC2)N1,23
c1ccc2c(c1)nc1ncnnc12,22
c1ccc2c(c1)NCCCN2,22
c1cc2nnc3cnccc3n2n1,22
c1ccc2nc3c(cc2c1)CCCC3,22
c1ccc2c(c1)OC1(CCCC1)O2,22
c1con[n+]1,22
c1nc2cc[nH]c2cn1,22
C1=CNC=CC1,22
C1NCc2c1cnc1nncc21,22
C1CNCC2(C1)OCCO2,22
c1nc2ncc3cnccc3n2n1,22
C1=C[C@@H](c2ccccc2)n2nnnc2N1,22
c1ccc2c(c1)nc1ccccn12,22
c1nc2c([nH]1)CCNC21CCNCC1,22
c1ccc2c(c1)CCNCC2,22
C1CC2(CCNCC2)CN1,22
C1N=CN=C2S[C@@H]3CCCCC3=C12,22
c1ccc2c(c1)nn1cccnc21,21
c1ccc2ncc[nH]c2c1,21
c1cn2c(n1)SCC2,21
c1cn2nccc2cn1,21
c1cc2occc2n1,21
C1CC[NH+]CCC1,21
C1C[NH2+]CS1,21
c1ccn2c(c1)[C@H]1CNC[C@H](C1)C2,21
c1ccc2sc[nH]c2c1,21
C1C[NH+]2CC[C@@H]1CC2,21
C1CCNC(N2CCNCC2)=N1,21
C=N/OC,21
C1CCCC=N1,21
c1ccc2c(c1)ncn1ncnc21,21
C1CCC2(CC1)CNCCS2,21
c1ccc2c(c1)C[NH+]CCN2,21
c1cc2nncc-2cn1,21
c1ccc2nc3c(nc2c1)nc1ncncc13,21
c1c[nH]ccn1,21
c1ncc2c(nc3n2CCCN3)n1,21
c1ccc2c3c(ccc2c1)CCCCO3,21
C1CN[C@H]([C@@H]2CCC[NH+]2)C1,21
C1NCCn2c1cc1ccccc12,20
C1NC[C@H]2[C@@H]1[C@@H]1C=C[C@H]2C1,20
C1=NNc2nc3ncncc3n2C1,20
C1CCC=C2SCNCN12,20
c1ncc2c(n1)CCCCC2,20
c1cn2nccc2nn1,20
c1ncc2ccsc2[nH]1,20
C1C[C@H](c2ccccc2)c2c[nH]cnc2N1,20
c1c[nH]cnn1,20
c1ccc2c(c1)cnc1cnnn12,20
C1=NNCS1,20
c1cc2c3c(cccc3c1)SN2,20
c1coc(C2=NNCC2)c1,20
C=[NH+]/C,20
C1CC[C@H]2NCC[C@H]2C1,20
C1CN[C@@H]2CCC[C@@H]2C1,20
c1ccc2[nH]cc[nH]c2c1,20
C1NC[C@@H]2[C@H]1CN[C@@]21CNc2ccccc21,20
C1=C[C@@H](c2ccccc2)c2cn[nH]c2O1,20
c1nc2c3ccnc3ncn2n1,20
C1NCCn2cncc21,20
C1CCc2cnnc2N1,20
C1Nc2ccccc2[C@]12NCCS2,20
C1=CCNCC1,20
c1nc2sc3c(c2c[nH]1)CCC3,20
C1CCn2nccc2N1,20
C1CC=NCN1,19
C1C[C@@H]2CCC[NH+]2C1,19
C1COCN1,19
c1nc2oncc2cn1,19
C1C[C@@H]2C[C@@H]2C1,19
c1c[nH]c[nH]1,19
c1ccc2c(c1)sc1cncnc12,19
C1CC1C1CC1,19
c1ccc(-[n+]2ccon2)cc1,19
C1C[NH+]2CC[C@H]1CC2,19
c1nc2n(n1)CCCN2,19
c1ccc2c(c1)Nc1ccccc1S2,19
